model,accuracy,balanced_accuracy,macro_f1,roc_auc,healthy_f1,moderate_f1,severe_f1,train_time_s
Random Forest,0.8739,0.7904,0.8229,0.9614,0.9143,0.8436,0.7109,25.4
XGBoost,0.8628,0.8614,0.839,0.9582,0.8989,0.8319,0.7864,44.2
LSTM,0.8194,0.836,0.7783,0.9439,0.8794,0.7753,0.6801,230.1
Transformer,0.8226,0.8466,0.7795,0.9477,0.886,0.7782,0.6741,398.7
Ensemble,0.8647,0.8752,0.8335,0.9653,0.9076,0.8315,0.7614,
